TweeterName,TotalReTweets,TweetText
#HEARTBREAKER,102899,RT @justinbieber: I know who I am. I'm growing and I'm #stillkidrauhl . Just growing and learning everyday
Linda Cordero,3347,RT @bjnovak: I bet the parties at Monsters University are fucking insane
will bonnet,1768,"RT @UberFacts: Michigan State University researchers have found that the more friends a person has on Facebook, the less they probably have"
Kim Kroener,1768,"RT @UberFacts: Michigan State University researchers have found that the more friends a person has on Facebook, the less they probably have"
Jared Lockhart,1768,"RT @UberFacts: Michigan State University researchers have found that the more friends a person has on Facebook, the less they probably have"
Dylan Griffin,1768,"RT @UberFacts: Michigan State University researchers have found that the more friends a person has on Facebook, the less they probably have"
{marianne},1586,RT @GoogleFacts: Sarcasm improves your problem solving ability.
Kelli Hahn,821,RT @SarahKSilverman: My dog's problem solving skills are a joke
"I need summer.GSR,35",604,RT @SrMikeWazowski: RT Si quieres ver Monsters University.
Yadira,360,"RT @realDonaldTrump: 'Work often becomes problem solving.  Problems come with the territory, and they should never surprise you.'' - Think Like"
Paul Dodson,360,"RT @realDonaldTrump: 'Work often becomes problem solving.  Problems come with the territory, and they should never surprise you.' - Think Like"
Fai Al Flani,217,"RT @BestOf90s: Dear little kids, when Monsters University comes out you better get the fuck out the way. I've waited way too long to see that"
BOOOOOOOO,217,"RT @BestOf90s: Dear little kids, when Monsters University comes out you better get the fuck out the way. I've waited way too long to see that"
Rizwan Pir Muhammad,177,RT @thegooglefact: Sarcasm has been proven to instantly stimulate the part of the brain associated with problem solving.
darshanaa gahatraj,177,RT @thegooglefact: Sarcasm has been proven to instantly stimulate the part of the brain associated with problem solving.
jay buddhadev,177,RT @thegooglefact: Sarcasm has been proven to instantly stimulate the part of the brain associated with problem solving.
keshryn,177,RT @thegooglefact: Sarcasm has been proven to instantly stimulate the part of the brain associated with problem solving.
Akshit Sandhu,177,RT @thegooglefact: Sarcasm has been proven to instantly stimulate the part of the brain associated with problem solving.
Lily,177,RT @thegooglefact: Sarcasm has been proven to instantly stimulate the part of the brain associated with problem solving.
Natalia Ezreen,134,"RT @kruacademy: School Teachers needed at KRU ACADEMY: B.M., English, Maths, History, Science, Pend. Islam, PJK. Pls email to mahathir.khan"
Yatie das Frulein.,134,"RT @kruacademy: School Teachers needed at KRU ACADEMY: B.M., English, Maths, History, Science, Pend. Islam, PJK. Pls email to mahathir.khan"
